Name,Description,CostPrice,TaxRate,CostIncTax,SalePriceIncTax,IsVariablePrice,MarginPerc,TaxExemptEligible,RRPrice,Barcode,Category,Brand,Supplier,OrderCode,ArticleCode,Size,Colour,ProductType,TareWeight,ProductId,AgeRestriction
"EXTRA STRAWBERRY BOTTLE 64g ","EXTRA STRAWBERRY BOTTLE 64g ",2.95000,GST,3.24500,4.90000,False,0.337760,False,0,9300613111379,CONFECTIONERY,EXTRA,JB Metro,,,,,Standard,,2289223,
MOCCONA 50g,MOCCONA 50g,4.99000,GST FREE,4.99000,6.49000,False,0.231120,False,0,8711000075371,Grocery,MOCCO,JB Metro,,,,,Standard,,2289240,
YOOSH ALOE VERA LYCHEE 500ML,YOOSH ALOE VERA LYCHEE 500ML,1.77000,GST,1.94700,2.99000,False,0.348830,False,0,9310432002819,Drinks,YOOSH,JB Metro,,,,,Standard,,2289260,
SAMS  FRUIT LUNCH 375ml,SAMS  FRUIT LUNCH 375ml,2.04000,GST,2.24400,3.75000,False,0.401600,False,0,9345344000004,Drinks,SAMS,JB Metro,,,,,Standard,,2289395,
SABRINI CHILLI MILI SAMOSA 660g,SABRINI CHILLI MILI SAMOSA 660g,6.06900,GST FREE,6.06900,9.15000,False,0.336720,False,0,9325566029588,FROZEN,SABRINI,Sabrini Foods,,,,,Standard,,2289470,
SAURBHI AMLA WHOLE 312g,SAURBHI AMLA WHOLE 312g,1.30000,GST FREE,1.30000,2.99000,False,0.565220,False,0,8904188607919,FROZEN,SAURBHI,Shivom Enterprises,,,,,Standard,,2289472,
BRAHMINS PICKLE POWDER 100g,BRAHMINS PICKLE POWDER 100g,1.60000,GST FREE,1.60000,2.49000,False,0.357430,False,0,8906014085069,Grocery,BRAHMINS,Asiatic,,,,,Standard,,2302288,
BAKEMILL PLUM CAKE 700g,BAKEMILL PLUM CAKE 700g,6.27000,GST,6.89700,9.99000,False,0.309610,False,0,086114800637,CONFECTIONERY,BAKEMILL,Asiatic,,,,,Standard,,2302299,
PAZHAYIDOM MALABAR THATTU PAROTTA 1kg,PAZHAYIDOM MALABAR THATTU PAROTTA 1kg,5.99000,GST FREE,5.99000,8.49000,False,0.294460,False,0,046139455397,FROZEN,,asian foods,,,,,Standard,,2302318,
BRAHMINS CHEMBA IDIYAPPAM PODI 1kg,BRAHMINS CHEMBA IDIYAPPAM PODI 1kg,3.25000,GST FREE,3.25000,4.75000,False,0.315790,False,0,8906014086387,Grocery,BRAHMINS,Asiatic,,,,,Standard,,2302321,
BRAHMINS OATS PUTTU POWDER 1kg,BRAHMINS OATS PUTTU POWDER 1kg,4.99000,GST FREE,4.99000,6.25000,False,0.201600,False,0,8906014086226,Grocery,BRAHMINS,Asiatic,,,,,Standard,,2302327,
Kettle sweet chilli cream 45gmb,"Kettle sweet chilli cream ",1.13000,GST,1.24300,1.99000,False,0.375380,False,0,9310988016025,CONFECTIONERY,,JB Metro,,,,,Standard,,2303579,
"Cadbury flake 30gm ","Cadbury flake 30gm ",0.00000,GST,0.00000,2.00000,False,1.000000,False,0,93617406,CONFECTIONERY,,JB Metro,,,,,Standard,,2303580,
"Pazhayidom grated coconut 300gm ","Pazhayidom grated coconut 300gm ",2.50000,GST,2.75000,4.50000,False,0.388890,False,0,046139455366,FROZEN,,Asiatic,,,,,Standard,,2303640,
VATIKA COCONUT HAIR OIL 250ml,VATIKA COCONUT HAIR OIL 250ml,0.00000,GST,0.00000,5.99000,False,1.000000,False,0,6291069707793,SUPPLIES,VATIK,Aftab Impex,,,,,Standard,,2304418,
PATTU CLOVES WHOLE 50gm,PATTU CLOVES WHOLE 50gm,1.84000,GST FREE,1.84000,3.50000,False,0.474290,False,0,9325566024309,Grocery,Pattu,Sabrini Foods,,,,,Standard,,2304589,
TIMTAM MORETON BAY RASPBERRY 160g,TIMTAM MORETON BAY RASPBERRY 160g,2.72000,GST,2.99200,4.49000,False,0.333630,False,0,9310072032092,CONFECTIONERY,ARNOT,Coles,,,,,Standard,,2306953,
SABRINI SAMOSA CHUTNEY 360g,SABRINI SAMOSA CHUTNEY 360g,2.25000,GST FREE,2.25000,3.49000,False,0.355300,False,0,9325566030126,Grocery,SABRINI,Sabrini Foods,,,,,Standard,,2307346,
SABRINI MINT CHUTNEY 360g,SABRINI MINT CHUTNEY 360g,2.25000,GST FREE,2.25000,3.49000,False,0.355300,False,0,9325566030195,Grocery,SABRINI,Sabrini Foods,,,,,Standard,,2307349,
KATOOMBA RED CHILLI WHOLE(STALKLESS) 250,KATOOMBA RED CHILLI WHOLE(STALKLESS) 250,2.00000,GST FREE,2.00000,2.99000,False,0.331100,False,0,9317471000080,Grocery,KATOOMBA,KATOOMBA,,,,,Standard,,2307425,
